微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数 
,#王者荣耀朵莉亚海诺520皮肤CG##王者520心动手记皮肤主题曲#这是海诺与朵莉亚心动故事的续章，也是两人时空交错的宿命奇遇 ——青涩的他们，一个有想要改写的结局，一个有想要回应的答案。想象力让她给古老的角色编织奇幻故事，好奇心让他为熟悉的童话寻找不同讲述。他们藏身书页之间，用情节与彼此交谈；他们在拼贴画的缝隙中携手遨游、心意相通…“每一次奇妙的旅程，翻阅时空在下一页相逢。”这一次，小王也特别邀请到实力歌手@摩登兄弟刘宇宁 与@单依纯 ，共同演唱王者荣耀520心动手记皮肤主题曲《未完待续》。愿命运的书页翻开，烟火绽放、人鱼之歌的旋律再度唱响时，不为遗忘与悲伤，只为见证灵魂相吸的美好缘分，只为刻录相爱的人最珍贵的笑颜。相爱的人必将向彼此奔去，我们，定会在故事的下一页再度相逢。 http://t.cn/A6HtPoFA ,,,,,2024/5/14 17:21,,31394,26810,3057
,#王者荣耀##小王的活动笔记#叮咚~您的活动提醒助手本狐带着一堆福利活动上！线！啦！【86版西 游记系列皮肤】截至6月27日，合作期内最后一次返场，喜欢的小伙伴千万不要错过哦~【明世隐-夜落电台】热卖中，首周最低710点券购新皮！参与累计对局、签到活动【免费送】西 游主题资源和西 游英雄！【神秘商店】最后1天！小乔-音你心动、貂蝉-唤灵魅影、艾琳-奇遇舞章、安琪拉-时之奇旅首次加入更多活动详情请戳图查看~ 原图 ,,,,,2024/5/14 14:42,,1320,31,371
,#朵莉亚海诺心动手记皮肤##朵莉亚海诺520限定皮肤#如果命运是一册书本，《我们的故事》会怎样开始？是030号书架旁，少年少女的浪漫畅想、笔随心动，是晨昏交错间，第一眼就是最后一眼的宿命奇遇，是无论在哪个世界，都无法拒绝的互相吸引……如果这个故事，由朵莉亚和海诺来书写，那场最盛大的烟火，又会有什么样全新的意义？王者荣耀520朵莉亚海诺心动手记皮肤即将上线，翻阅时空，愿一切美好都在下一页与你见面。 http://t.cn/A6H5O82G ,,,,,2024/5/14 12:33,,6588,254,952
,#朵莉亚回应歌手讨论# 既然大家都在找朵莉亚，那她就来啦#歌手2024# #歌手2024请揭榜# @湖南卫视歌手 王者荣耀的微博视频  ,,,,,2024/5/13 21:00,,21975,468,1555
,#王者荣耀全国大赛##未来银行杯#🔥青春荣耀 ，竞无止境！百城银行，千家网点！新希望金融科技 X 王者荣耀电竞场搬到家门口的银行网点✨银行✖电竞 梦幻联动 王者荣耀“未来银行杯”全国电竞挑战赛，荣耀启航！本狐携手@王者荣耀全国大赛，邀您见证  原图 ,,,,,2024/5/13 17:00,,1345,12,283
,#王者荣耀[超话]##王者五五朋友节#王者荣耀五五朋友节定制贴纸&边框上线美图秀秀啦！[哇]开黑上王者，修图用美图！王者荣耀&美图秀秀邀请你加入群星魔术团，一起体验韩信、上官婉儿、云中君、程咬金的搞笑表情包和可爱边框！打开美图秀秀-搜索：王者荣耀！一键GET同款哦！  原图 ,,,,,2024/5/13 11:32,,1339,14,375
,五五朋友节，王者人生邀各位玩家来游戏内生活福利专区，领品牌优惠福利，邀请老友助力、组团对局，集“魔术币”，兑换55元现金红包，王者限量精美周边，热门皮肤等好礼。奇迹时刻，开始我们的表演。活动入口: 游戏内大厅-营地（顶部王者logo）-发现-生活福利活动时间: 4月30日-5月31日感谢携程旅行、蜜雪冰城、沪上阿姨、CoCo都可、美团外卖、清风、柚票、中国联通腾讯王卡、得物等合作方提供的好福利。五五有礼，共创奇迹。 原图 ,,,,,2024/5/11 15:34,,1266,21,313
,#峡谷周边新品发布会##王者好物#“知识就是力量！”Bingo~暗夜萝莉-安琪拉Q版手办【五五朋友节限定】，已上线王者荣耀周边商城！千万别迟到，魔法少女生气，后果很严重！  [组图共3张] 原图 ,,,,,2024/5/10 10:00,,1245,29,454
,#王者荣耀##英雄调整情报#本次更新诸葛亮、不知火舞、盘古、马超增强！不知火舞二、三技能能量消耗降低，诸葛亮一、二技能存储时间降低，盘古、马超普攻间隔时间降低。另外夏侯惇平衡，暃和墨子有所降温。*所有调整，请以官网公告为准 王者荣耀的微博视频  ,,,,,2024/5/9 19:24,,1689,44,577
,#源梦皮肤设计大赛##源梦大赛创作分享#喂喂喂？小伙伴们听得到吗～本狐又带着新的创作故事来啦！👀 【第三期源梦大赛创作分享】源梦大赛不仅在游戏内邀请小伙伴们进行投票，也在社区平台发起了社区热度大赛！让各位创作者们能在社区这个舞台上也积极分享作品，让更多人能看到自己的设计，也为能够站上源梦舞台努力。本期本狐将带来八位社区热度作品作者的独家创作奇遇和灵感闪现！每一期都有独一无二的故事，每一期都有前所未有的启发！🎉是不是已经好奇心爆棚了？快来和本狐一起，一探他们的创作历程，揭开作品背后的神秘面纱吧！ 原图 ,,,,,2024/5/9 18:13,,982,7,208
,#王者明世隐新皮肤##明世隐夜落电台皮肤#为春天收个尾，替夏天开个头！夏日时光莫要辜负，快和本狐一起来看看本期公告吧～【明世隐-夜落电台】即将上线，热门皮肤个性定制热卖中～86版西 游记系列皮肤返场热卖中！参与累计对局、签到活动免费送西 游主题资源和西 游英雄！王昭君专属传说播报上架！超值英雄自选礼盒、铭文礼盒、头像框礼包上架！更多活动详情和福利内容，请点击下方文章了解~ #王者荣耀[超话]#  http://t.cn/A6H2kKCg ,,,,,2024/5/8 21:06,,2369,46,642
,#王者明世隐新皮肤##明世隐夜落电台皮肤#夜色浓郁，沉睡的城市，会在午夜零点电台响起时苏醒，电台主播明世隐打开麦克风，娓娓道来一个个故事。我们融合都市幻想+中式元素，为明世隐打造全新电台主播形象。他身穿中式风格服饰，头戴式耳机、主播麦克风和电台设备等装饰于身，增加人物的超现实感；特效设计方面加入了音波律动、电台设备等元素。跟随电台主播明世隐的声音，一起揭开一个个谜底吧！角色介绍这座万象之都里流传着一个电台节目的传说。它的播出日期不固定，但播出时间永远是午夜零点。主播娓娓道来一个个故事，或温馨，或离奇，或诡异。后来听众们发现，他所讲述的某些怪谈竟真的在现实上演，有的甚至揭晓了多年未决的悬案。有人怀疑他就是这些事件的始作俑者，但事件发生时，他永远在直播间里，有充分的不在场证明。随着怪谈的蔓延，那些隐藏在城市中的传说渐渐无所遁形，心怀鬼胎的人也不再敢于夜间出没，他们总觉得黑暗的尽头有什么正等着自己……角色设计我们以电台风格为主，融合中式元素，为明世隐设计了全新的电台主播形象。服饰设计上，明世隐身穿墨绿色系西装剪裁外套，搭配银色中式花纹里衣，帅气中又增添一丝潇洒；配饰设计上，头戴式耳机和袖子上的广播英文标识，展现了一个动感、鲜活的电台主播形象；技能特效上也融入了音波电台元素。场景设计在“午夜怪谈”电台演播室里，放着复古的演播设备，房间里的红色半透明屏风外，似乎有虚影一闪而过。展示动画设计明世隐指挥着三只幽灵助手准备电台广播设备，随后明世隐帅气潇洒地走到主播麦克风前，深夜电台故事准备开讲。美宣图设计在午夜电台演播室里，明世隐手握主播麦克风，迷人磁性的绚丽音波从指尖流淌，整个城市听众进入了神秘紧张的故事氛围中。音乐音效设计音乐设计上，我们以 R&B融合国风乐器（二胡、琵琶、小锣等）营造出中式神秘且有都市感的氛围。音效设计上，我们以都市幻想风格为主，通过怪诞电台、幽灵助手等声音元素，再与主题音乐相融合，塑造明世隐此次电台主播的形象。*此为研发过程中录制，所展示内容仅供参考 http://t.cn/A6H2Eytr ,,,,,2024/5/8 18:00,,14112,431,1611
,#王者明世隐动画##明世隐音乐概念片#全新发布！摄人心魂的牡丹，绽放着的，是最恣肆的艳丽，亦是最深藏的执念。将自己和一切羁绊出卖给黑暗的异瞳之人，再度归来，他用欲望浇灌花朵，用仇恨培育丰满，一起走入牡丹方士 · 明世隐的花园，走进他内心世界的舞台，感受音乐与动画的融合，歌声与视觉交织的呈现，聆听属于明世隐的偏执与独白，聆听灼灼异瞳下燃烧的欲念……王者IP动画正在筹备中，敬请期待！#王者荣耀[超话]# http://t.cn/A6HArzOI ,,,,,2024/5/8 10:30,,8992,596,1415
,#峡谷周边新品发布会##王者好物#明明已经返工了，但本狐依旧没有看见王者小兵的身影[妲己]点开它的朋友圈才发现原来它还在休假中，朋友圈里全是风景大片！关注@王者荣耀 和@王者好物 ，在评论区留下你最喜欢的旅游地点，本狐将随机抽4位小伙伴，送出评论区图中好礼一份！（开奖时间：5月14号）现在就跟随王者小兵的朋友圈，看看这个假期，他们都去哪里地方度假了吧~ http://t.cn/A6HIPpqO [组图共9张] 原图 ,,,,,2024/5/7 12:00,,1827,480,1039
,#王者荣耀##小王的活动笔记#王者五五朋友节系列活动倒计时！超多福利和活动等待各位来参与，千万不要错过哦~参与五五系列活动限时领【程咬金新皮肤】！发红包，邀好友，史诗皮肤免费5选1！西 游主题资源免费送！荣耀播报、头像框、静态表情等你领~蔷薇珍宝阁活动、定制称号、加星、保星卡领取倒计时【最后3天】~戳长图了解更多活动详情吧~[程咬金] 原图 ,,,,,2024/5/6 18:37,,1420,326,443
,“4=1带你飞，上号？”“我和你天下第一好！”这个五五朋友节太开心啦！感谢上分搭子们的不离不弃[妲己]小伙伴们跟朋友上了几颗星呀？关注+转发本条微博 ，本狐将揪10位送出【200Q币】关注并在评论区分享开黑故事，本狐将揪10位送出【夏侯惇-乘风破浪】，2位送出【GERMx王者荣耀系列菱形咖啡杯-鲁班七号款】ps：本狐的开黑实用表情包也顺带分享给大家[妲己] http://t.cn/A6Hf4SaI [组图共9张] 原图 ,,,,,2024/5/6 10:11,,2098,1512,1561
,#王者五五朋友节# 发射朋友星一共需要几步？第一步：为朋友星定制名称，是“为老亚瑟点亮的朋友星”还是“狄大人和元芳的兄弟星”都由你说了算！第二步：5月5日10点起，前往排位大厅点击发射按钮，魔术师灵宝将和你一起见证这场发射仪式！第三步：完成发射，将这颗独一无二的朋友星悬挂在排位界面上空！点击朋友星还可回顾朋友节期间的参与历程~另外，全英雄和全直售皮肤限免福利再加码！5月5日当天，额外加码10款限定皮肤限免：【刘备-百相守梦】、【张飞-百相守梦】、【关羽-百相守梦】、【妲己-时之奇旅】、【伽罗-炽翼辉光】等10款精选限定陪你峡谷畅玩~ [组图共2张] 原图 ,,,,,2024/5/5 15:30,,1275,27,300
,#关羽KPL限定皮肤##关羽KPL名场面#以荣誉为名！2024KPL春季赛限定皮肤今日正式开售！作为赛场常青树，关羽在KPL职业联赛中留下浓墨重彩的一笔！接下来跟随赛事视角，回顾关羽的赛场故事和选手羁绊吧~大家印象最深的一幕是什么呢？评论区一起说说吧！  原图 ,,,,,2024/5/5 12:00,,1266,55,278
,#王者五五朋友节#王者漫展格莱美慢镜头来了～群星魔术团，孙尚香、明世隐、小乔、貂蝉……谁才是你的pick？  王者荣耀的微博视频  ,,,,,2024/5/4 15:07,,1743,67,394
,#起猛了遇到孙策给扁鹊下毒了# 看脸色，这个扁鹊一定很毒吧？  王者荣耀的微博视频  ,,,,,2024/5/4 13:49,,2581,37,295
,替大家试过了，五五朋友节 #开黑20分钟效应是真的# 只要和王者搭子开黑20分钟，就会总计消耗40分钟，或者获得友尽文学博士学位开黑时，你会对搭子说：___________？在评论区分享答案，揪5人分别送出【200Q币】，揪5人送出【泡泡系列便签夹-瑶 *5】  抽奖详情  [组图共4张] 原图 ,,,,,2024/5/4 13:00,,1500,85,958
,#王者五五朋友节# 王者五五朋友节，在天猫王者荣耀官方商城，开始我们的表演！5月1日-5月5日，打开淘宝/天猫APP，搜索“王者荣耀五五朋友节”，特别上线【婉儿云中君魔术礼包】一键拥有云中君的华丽优雅，和上官婉儿的活力四射活动价仅需143元，该组合礼包还能额外获得萌兽魔术击败特效*1个，萌兽魔术个性戳戳*10个！更多英雄皮肤，低至7折：【嬴政-摇滚巨星】，折扣前88.8元，限时折扣价66.6元【扁鹊-救世之瞳】，折扣前88.8元，限时活动价66.6元【孙膑-天使之翼】，折扣前88.8元，限时活动价62.2元【嫦娥-露花倒影】、【甄姬-花好人间】、【刘备-万事如意】等低至7折关注店铺还可参与抽奖活动，最高可得Iphone 15 Pro，快来店铺逛逛吧！ 原图 ,,,,,2024/5/4 12:30,,781,13,182
,#朵莉亚音乐节前排蹦迪# #王者荣耀五五朋友节#这个五一假期，看音乐节的风终于吹到王者峡谷了！咱就是说王者峡谷的次元壁，你还好吗？💃好多朵莉亚！前排蹦迪太可爱啦～🎵是谁家的小鹿呀？开大看演出的感觉，是不是很“上头”呢？✨大小姐（音你闪耀Ver.）和小乔妹妹（音你心动Ver.）一同驾到！音你系列跟音乐节的适配度就是最顶的～🎤野王哥哥集体出没小蔡摇摇车乐园，限时营业中，偶遇他们的你有没有上去集邮打卡呢？话说回来，假如这10个朵朵同时给我刷大…老天爷，难道这就是《奇迹时刻》？ [组图共18张] 原图 ,,,,,2024/5/4 12:01,,1291,23,171
,#王者五五朋友节#奇迹时刻，就是现在！不愧是王者荣耀品牌代言人@卡布叻_周深  ，在音乐节完美演绎Rap唱跳三合一舞台，还有群星魔术团大屏裸眼3D出没，太炸了！这个五五，我们相聚一起，在《奇迹时刻》第一个音乐节现场感受朋友节的活力满满，确实不需要等待Showtime，此刻就无限精彩！ http://t.cn/A6HhKWZZ ,,,,,2024/5/4 11:25,,37958,4600,2503
,#王者五五朋友节#【王者荣耀-小王魔术学院】营业返图！数十位嘉宾齐聚萤火虫漫展，你喜欢的都在这里！一群小乔妹妹向你发出可爱暴击~婉儿姐姐还是如此帅气，连高帽子里不小心露出的长耳朵都散发着危险的气息～现场coser众多，随手抓住一个，享受集邮的快乐！本狐最爱的当然还是“王者同人街道”，一进去就不想挪动脚步！ [组图共10张] 原图 ,,,,,2024/5/3 17:13,,5738,54,392
,当一阵麦旋风吹入王者峡谷~诶？本狐被硬控了？控制不住想说这些话啦！小伙伴们觉得本狐的新口头禅如何呢？关注+转发，本狐将揪10位送出【200Q币】关注+评论，本狐将揪10位送出【孙尚香-时之恋人】，2位送出【GERMx王者荣耀系列菱形咖啡杯-瑶款】  http://t.cn/A6Hf4wDl [组图共6张] 原图 ,,,,,2024/5/3 15:00,,4520,1354,1925
,#王者五五朋友节##王者荣耀国际服#今年的五五朋友节正热火朝天！听说，这次还有全球50多个国家和地区的玩家一起庆祝！花木兰队长受聘成为王者荣耀国际服出海大使，给大家带来国际服的最新播报！快来一起看看叭~  王者荣耀的微博视频  ,,,,,2024/5/3 12:00,,1180,27,188
,#首届峡谷王友运动会#第五集｜钎城射箭重现猎杀时刻，程yooooo一箭俘获谁的芳心？  王者荣耀的微博视频  ,,,,,2024/5/3 11:15,,1340,46,144
,#首届峡谷王友运动会#第四集｜草丛拔河众英雄心眼层出不穷，高台战脱缰凯猴子拿下五杀！  王者荣耀的微博视频  ,,,,,2024/5/3 11:03,,667,13,98
,最近本狐的星星总是神秘消失，一定是被某高调神秘组织偷走了！为了保护本狐的星星×（峡谷√），请看到符合下图特征的人员速速与本狐联系，有奖👇！关注+转发，本狐将揪10位送出【200Q币】关注+评论，本狐将揪10位送出【亚瑟-心灵战警】，2位送出【蔡文姬系列斜挎包-白色】能不能守护住本狐的星星，就拜托大家了！ http://t.cn/A6HLFHK1 [组图共4张] 原图 ,,,,,2024/5/2 19:00,,2251,1745,2251
,#首届峡谷王友运动会# 第三集｜甜妹奶露拖化身体育生黑马，AG北诗怒放豪言究竟为谁？  王者荣耀的微博视频  ,,,,,2024/5/2 17:35,,924,18,134
,#首届峡谷王友运动会#第二集｜东北孙尚香董赤赤重生王者峡谷竟被一秒创飞，花小龙尊严之战能否一举翻盘？  王者荣耀的微博视频  ,,,,,2024/5/2 17:23,,613,8,87
,#首届峡谷王友运动会#第一集｜花小龙脱缰凯起争执现场对峙？宋云生智取偷家能否拿下比赛…  王者荣耀的微博视频  ,,,,,2024/5/2 17:03,,1216,34,133
,#全民电竞战队# #全民电竞俱乐部粉丝战队#五五朋友节，与伍同行，全民电竞KPL专属粉丝战队火热开启！亲爱的小伙伴们，五一假期已至，王者峡谷向你发起“五五朋友节”邀约。全民电竞KPL专属粉丝战队系列活动火热开启！共促队员凝聚力，展现战队向心力，我们特别为小伙伴们准备了一系列精彩纷呈的活动，快跟着本狐一起戳图了解详情吧！快与小伙伴们加入全民电竞专属粉丝战队，参与到活动中，寻找朋友，见证首秀，点亮璀璨，演绎精彩！ [组图共2张] 原图 ,,,,,2024/5/2 15:15,,804,13,161
,#西游系列皮肤# 86版《西 游 记》陪伴了无数人的童年和青春，度过一番番春秋冬夏的时光～西 游系列皮肤也在不知不觉中陪伴着我们，度过一场场酸甜苦辣的战斗！西 游故事从未完结，西 游精神永远鼓舞我们——路在脚下，再出发～再次，一起梦回西 游！86版《西 游 记》正版授权系列皮肤将限时返场～（孙行者-孙悟空、女儿国国王-甄姬、玉兔公主-公孙离、唐三藏-金蝉、猪悟能-猪八戒）参加【梦 回 西 游】祈愿活动，就有机会获得限定返场的86版《西 游 记》系列皮肤！*本次返场抽奖为86版西 游系列皮肤（孙行者-孙悟空、女儿国国王-甄姬、玉兔公主-公孙离、唐三藏-金蝉、猪悟能-猪八戒）合作期内最后一次返场。关于后续返场授权，我们正在积极和版权方沟通，届时请留意官网公告。 原图 ,,,,,2024/5/2 10:30,,2432,53,466
,#西游系列皮肤集体返场# #86版西游记正版授权皮肤# 86版《西 游 记》缔造了一个时代的经典，我们心中总有一块位置，留给那份永恒的情结。西行路遥，人生路漫，但我“只愿今生，不想来世”。向这部永远的经典致敬，重温那份意难平的感动！让我们跟随CG重温《趣经女儿国》经典桥片段，再次梦回西 游吧~*经86版《西 游 记》电视剧正版授权，此CG动画创意源自剧中《趣经女儿国》一集经典镜头。 http://t.cn/A6Ts0sp9 ,,,,,2024/5/2 10:00,,13521,83,525
,#王者荣耀[超话]# 谁说去峡谷旅游没有特产？噔噔~[兔子]本狐带来了四个峡谷特产，快选一个喂到本狐嘴里来关注+转发，本狐将揪10位送出【200Q币】关注+评论，本狐将揪10位送出【大乔-猫狗日记】，2位送出【Gift+系列破镜之刃镜手办】假期大家都在哪玩，快来晒一晒让本狐季度一下 http://t.cn/A6HLkEtO 原图 ,,,,,2024/5/1 13:00,,2359,2595,3777
,#关羽新皮肤视频有点子帅##关羽KPL限定皮肤#弈决，骏眼疾；破局，马当先。狭路相逢，勇者胜！前有骐骥辈出，豪杰并起；后出新生之将，披荆斩棘。引离闪击，搅局探囊夺势。通路联兵，踏平万敌千军。一骑当千，骁勇将军绝杀！单骑已无双，壮志仍千里；新生偃月刀，荣耀斩蛟龙！该我上场！这一局，由我主宰!明日@KPL王者荣耀职业联赛 季后赛19:00准时开战，关羽KPL限定皮肤决胜骁骑5月5日正式上线，专属优惠券活动已限时开启，订阅即可领取！快前往游戏内参与吧！ http://t.cn/A6TFAhgz ,,,,,2024/5/1 12:00,,1523,30,255
,#源梦皮肤设计大赛##源梦大赛创作分享# 嗨宝子们，本狐带着满满的创作故事来啦！第二波源梦大赛创作分享来袭，这次本狐一口气请来十位创作大咖！他们不仅会分享创作的趣事和难忘的瞬间，还会聊聊面对新想法时的纠结和选择，以及成长和参赛心路历程，是不是超！期！待？！第一次参赛的激动？作品背后的故事？创作的灵感来源？所有答案，都在这里等你来发现！快来和本狐一起看看吧！#王者荣耀[超话]# 原图 ,,,,,2024/5/1 10:30,,962,18,210
,#王者荣耀[超话]# 奇迹邀约，QQ专属好礼火热兑换中！[星星]集星光，兑换传说皮肤！仅限今日，完成任务后将获得5倍星光值，冲冲冲！QQ口令抽奖来袭，海量好礼等你瓜分！快来QQ解锁你的福利吧！  [组图共3张] 原图 ,,,,,2024/5/1 9:30,,655,9,161
,#王者五五朋友节#奇迹4=1这个五五就缺你啦！来微博互动做任务，解锁五五限定表情包&道具；更有电竞选手陪你过五一！[程咬金][妲己]#就这个王者荣耀爽# 即日起-5月8日来 http://t.cn/A6MKqbJW，星光碎片、限时语音“6”好礼等你哦！[妲己]即日起-5月15日，前往http://t.cn/A6OxSPzz 领亲密玫瑰抽皮肤周边好礼！[妲己]5月1日-5月7日，来#王者荣耀[超话]# 签到1天/3天/7天，即可领取游戏道具！[妲己]5月1日-5月31日，进入小程序http://t.cn/A6TkZKNe，生成峡谷人设交友卡，匹配你的游戏搭子！5月3日15:00-17:30 电竞选手空降#我要玩王者荣耀#聊天室，跟你聊峡谷趣事！@VG丶季节 @VG丶天波 @VG丶小年 @深圳DYG丶夏凌 @深圳DYG丶冰然 @深圳DYG丶钎城 @深圳DYG丶孤离 @深圳DYG丶不弃 @深圳DYG丶小星 @深圳DYG丶小乐 @深圳DYG丶流星其他活动详情 欢迎戳图！[韩信] 原图 ,,,,,2024/5/1 9:22,,1201,440,568
,#云中君新皮肤##云中君群星魔术团上线#“此卡为约，我将为你点亮星河。” 迷人的真相，即将揭晓……奇迹时刻，咱们5月1日0点王者峡谷见~ #王者荣耀[超话]# 王者荣耀的微博视频  ,,,,,2024/4/30 21:00,,1416,67,425
,#程咬金新皮肤##程咬金群星魔术团上线#“华丽的你，所守护的不光是巡演，还有璀璨繁星。”热力登场，守护繁星……奇迹时刻，咱们5月1日0点王者峡谷见~ #王者荣耀[超话]# 王者荣耀的微博视频  ,,,,,2024/4/30 20:00,,1700,19,180
,#五五朋友星##朋友节一起去上星#天天摘星星，想不到这次五五朋友节，将真的收获一颗属于自己的朋友星！它不仅会记录下你与好友在峡谷中的点点滴滴，更会在这过程中不断成长，解锁专属你们的定制称谓！还会以一种特别的方式记录下你与好友、开黑车队之间的亲密关系！在五五期间，随着你的每一场组排，这颗朋友星也将不断升级，最最重要的是！5月5日10点起，化身为魔术师的灵宝将会邀你参加一个神秘的朋友星发射仪式，发射成功后可领取限时语音“繁星奇迹，随我登场”，千万不要错过啦！朋友星活动现已正式开放，参与活动可领取五五保星卡、加星卡、限时MVP加星卡、群星魔术拖尾特效等奖励，快去点亮属于你的朋友星吧！  http://t.cn/A6TD1owb ,,,,,2024/4/30 14:22,,1432,27,245
,#王者荣耀五五朋友节活动#王者五五朋友节活动已经开启，本狐带着微信游戏独家福利来啦! 参与活动抽888元现金红包，5月1日10万份1.88元现金红包登录领取，数量有限，先到先得！活动时间：4月29日-5月5日活动内容：组队赢好礼：活动期间邀请好友组队，组队成功即可领取车队专属大礼包！抽888元现金红包：活动期间完成任务，就有机会抽888元现金！还有史诗皮肤等游戏豪礼等你来瓜分！51登录有礼：5月1日当天登录可领取专属登录礼包，前10万名玩家可参与领取1.88元现金红包，奖品数量有限，先到先得，送完即止哟！点击订阅领取礼包提醒，不要错过哟 原图 ,,,,,2024/4/30 12:20,,1207,54,206
,#王者五五朋友节#来啦，王者营地也为大家准备了超多好礼和丰富的活动，一起来看看吧！4月30日登录营地，必得五五好礼，领战令经验、星光碎片、头像框和奇迹礼！组队冲星，瓜分万元奖励！更有传说皮肤、现金红包、战令经验等你赢！滴哒漂流瓶，寻个上分搭子！免费抽华为智能手环，定制手办和史诗皮肤！测一测，王者开黑真心话！参与趣味测试，生成开黑名片，必得头像框~上营地五五主题站，一站逛完五五精彩活动，必得亲密玫瑰、英雄碎片等好礼！更多精彩活动，请前往【王者营地-我-每日福利/王者营地-游戏-每日福利】解锁吧~ 原图 ,,,,,2024/4/30 11:07,,1227,14,198
,#王者五五朋友节##五五新皮肤群星魔术团#“下次演出后，还是去最热闹的餐厅开派对吧！”From韩信~云中君：“我还是喜欢这样安静的地方，可以欣赏耀眼的星空。”婉儿扭头：“行了吧，有这个预算不如收留更多的萌兽！”程咬金大笑：“哈哈哈哈哈~”原来是刚解救星星的群星魔术团，正享受难得的假期～大家小长假准备去哪儿玩呀？有谁和本狐一样住峡谷的吗🙋🏻♀图via：王者荣耀同人团#王者荣耀[超话]# [组图共2张] 原图 ,,,,,2024/4/30 10:00,,1871,33,260
,#王者麦麦联动#周边领取攻略来喽～爱吃麦麦的小伙伴们有福了！本狐又来为大家谋福利啦～5月1日-5月5日，来麦当劳王者联动快闪店和王者主题店，🧙♀找到穿魔女斗篷的神秘工作人员🎤说出“cpdd！我要玩王者荣耀！”并完成cpdd互动活动🎁即可拿到联动包包、魔女斗篷毛毯、吧唧等限量联动周边奖哦。数量有限，先到先得～详情请戳长图攻略↓↓↓（哼，穿魔女斗篷的人又要变多了呢！ [组图共5张] 原图 ,,,,,2024/4/29 21:19,,3055,242,1654
,这个#五五朋友节#，我们都将点亮一颗属于自己的朋友星！你可以为这颗象征着友谊的星球，取一个特别的名字！它将一种特别的方式记录下你与好友、开黑车队之间的亲密关系！在五五期间，随着你的每一场开黑，你的这颗朋友星也将不断升级，每次提升都将解锁全新的外观噢！最最重要的是！5月5日10点起，变装化身魔术师的灵宝将会邀你参加一个神秘的朋友星发射仪式噢！千万不要错过啦～今天24点，朋友星活动将正式开放，参与活动可领取五五保星卡、加星卡、限时MVP加星卡、群星魔术拖尾特效等奖励，快去点亮属于你的朋友星吧！ [组图共2张] 原图 ,,,,,2024/4/29 17:02,,2033,40,340
,四月春花散入绵绵雨，在这个长日欣喜的时节~本狐带着#峡谷生日祝福券#来啦！祝4月生日的小伙伴们生日快乐，愿你们松弛自在，踏梦行远！关注@王者荣耀 ，转发或评论本博，本狐将各揪3位小伙伴满足TA从图片中任选一个生日小心愿～正逢五五朋友节，小伙伴们和朋友一起打到什么段位了？快来评论区晒出你的开黑战绩吧~P.S. #王者自选史诗皮肤活动开启# 中，小伙伴们可前往【游戏内大厅】-【五五朋友节】-【奇迹邀约-领史诗皮肤】参与哦~ http://t.cn/A6HLkQzI 原图 ,,,,,2024/4/29 15:43,,2539,666,1288
,#王者五五朋友节# 版本火热进行中~请查收这份【五五开黑来王者】的重磅福利清单！五五开黑来王者，免费送五五新皮肤、史诗皮肤额外赠送保星加星卡，五五不掉星哟~*具体活动详情以官网公告为准 #王者荣耀[超话]#  原图 ,,,,,2024/4/29 11:00,,1850,72,364
,#王者五五朋友节##王者荣耀[超话]# 本狐带着五五朋友节微博福利活动来啦~[打call]4月27日-5月15日期间，前往http://t.cn/A6OxSPzz，三重福利等你来！福利一：签到打卡，必得限时语音“大胆！谁允许你这么说话的” 、亲密玫瑰~福利二：完成每日任务，即可获得抽奖机会，上官婉儿-群星魔术团、鲁班七号无线充电声控夜灯、王者语录系列T恤-干得漂亮等多款好礼等你赢！福利三：活动期间，从#王者荣耀[超话]# 带话题#王者五五朋友节#，发布你和好友的峡谷奇迹时刻、你的独家五五朋友节活动攻略等内容，即有机会赢取千元Q币奖励！快叫上你的伙伴，一起来领取王者五五朋友节福利吧！[开学季] 原图 ,,,,,2024/4/28 18:08,,2421,2003,575
,#五五朋友节#在王者峡谷里，你最期待发生的事是什么？是有大佬带飞猛猛上分，或是与好友开黑的欢乐时光？是得到本命英雄的战力标，或是收获陌生队友的一次点赞？游戏内参与活动，激活你的奇迹属性，与最适合你的开黑搭子一起，创造奇迹吧～还能领取五五限定静态表情与专属道具奖励哦！活动入口：游戏内大厅-活动中心-推荐-【奇迹属性】得五五限定表情 [组图共10张] 原图 ,,,,,2024/4/28 16:18,,1779,40,277
,#王者荣耀# “一元通行证”活动开启啦，快来和本狐一起解锁更多奖励！活动期间，小伙伴们每日登录即可领取奖励；且小伙伴们可在活动界面1元解锁进阶奖励，领取麦香制霸礼包（开启礼包有机会得【孙尚香-火炮千金】、【牛魔-制霸全明星】）、荣耀积分、个性戳戳、皮肤碎片等更多好礼～活动常驻入口：游戏内大厅-活动面板-活动-【1元战令】概率得皮肤活动时间：4月28日上线后-5月5日23:59感兴趣的小伙伴们，千万不要错过，快来和本狐一起参与吧！ 原图 ,,,,,2024/4/28 11:09,,2141,25,321
